date,hour,count,parent_dir
2022-03-27,15,1,九如吳翊銘20220327-0421
2022-03-30,16,2,九如吳翊銘20220327-0421
2022-03-30,19,1,九如吳翊銘20220327-0421
2022-03-31,23,1,九如吳翊銘20220327-0421
2022-04-01,09,1,九如吳翊銘20220327-0421
2022-04-01,13,1,九如吳翊銘20220327-0421
2022-04-01,20,1,九如吳翊銘20220327-0421
2022-04-02,18,1,九如吳翊銘20220327-0421
2022-04-05,13,1,九如吳翊銘20220327-0421
2022-04-13,08,1,九如吳翊銘20220327-0421
2022-04-15,01,1,九如吳翊銘20220327-0421
2022-04-16,22,1,九如吳翊銘20220327-0421
2022-04-18,06,1,九如吳翊銘20220327-0421
2022-04-21,06,1,九如吳翊銘20220327-0421
